season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1973,9,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,10,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,11,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,14,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1973,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,4,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,5,Belgian Grand Prix,Belgium,Brussels,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,6,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,7,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,8,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,9,French Grand Prix,France,Dijon,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,10,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,11,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,12,Austrian Grand Prix,Austria,Spielberg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,13,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,14,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1974,15,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,2,Brazilian Grand Prix,Brazil,São Paulo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,3,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,4,Spanish Grand Prix,Spain,Barcelona,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,5,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,6,Belgian Grand Prix,Belgium,Heusden-Zolder,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,7,Swedish Grand Prix,Sweden,Anderstorp,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,8,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,9,French Grand Prix,France,Le Castellet,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,10,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1975,11,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
