season,grand_prix,date,winner,constructor,laps,time,url
1974,Belgium,12 May 1974,Emerson FittipaldiFIT,McLaren Ford,85,1:44:20.570,https://www.formula1.com/en/results/1974/races/333/belgium/race-result
1974,Monaco,26 May 1974,Ronnie PetersonPET,Lotus Ford,78,1:58:03.700,https://www.formula1.com/en/results/1974/races/334/monaco/race-result
1974,Sweden,09 Jun 1974,Jody ScheckterSCH,Tyrrell Ford,80,1:58:31.391,https://www.formula1.com/en/results/1974/races/335/sweden/race-result
1974,Netherlands,23 Jun 1974,Niki LaudaLAU,Ferrari,75,1:43:00.350,https://www.formula1.com/en/results/1974/races/336/netherlands/race-result
1974,France,07 Jul 1974,Ronnie PetersonPET,Lotus Ford,80,1:21:55.020,https://www.formula1.com/en/results/1974/races/337/france/race-result
1974,Great Britain,20 Jul 1974,Jody ScheckterSCH,Tyrrell Ford,75,1:43:02.200,https://www.formula1.com/en/results/1974/races/338/great-britain/race-result
1974,Germany,04 Aug 1974,Clay RegazzoniREG,Ferrari,14,1:41:35.000,https://www.formula1.com/en/results/1974/races/339/germany/race-result
1974,Austria,18 Aug 1974,Carlos ReutemannREU,Brabham Ford,54,1:28:44.720,https://www.formula1.com/en/results/1974/races/340/austria/race-result
1974,Italy,08 Sep 1974,Ronnie PetersonPET,Lotus Ford,52,1:22:56.600,https://www.formula1.com/en/results/1974/races/341/italy/race-result
1974,Canada,22 Sep 1974,Emerson FittipaldiFIT,McLaren Ford,80,1:40:26.136,https://www.formula1.com/en/results/1974/races/342/canada/race-result
1974,United States,06 Oct 1974,Carlos ReutemannREU,Brabham Ford,59,1:40:21.439,https://www.formula1.com/en/results/1974/races/343/united-states/race-result
1975,Argentina,12 Jan 1975,Emerson FittipaldiFIT,McLaren Ford,53,1:39:26.290,https://www.formula1.com/en/results/1975/races/344/argentina/race-result
1975,Brazil,26 Jan 1975,Carlos PacePAC,Brabham Ford,40,1:44:41.170,https://www.formula1.com/en/results/1975/races/345/brazil/race-result
1975,South Africa,01 Mar 1975,Jody ScheckterSCH,Tyrrell Ford,78,1:43:16.900,https://www.formula1.com/en/results/1975/races/346/south-africa/race-result
1975,Spain,27 Apr 1975,Jochen MassMAS,McLaren Ford,29,42:53.700,https://www.formula1.com/en/results/1975/races/347/spain/race-result
1975,Monaco,11 May 1975,Niki LaudaLAU,Ferrari,75,2:01:21.310,https://www.formula1.com/en/results/1975/races/348/monaco/race-result
1975,Belgium,25 May 1975,Niki LaudaLAU,Ferrari,70,1:43:53.980,https://www.formula1.com/en/results/1975/races/349/belgium/race-result
1975,Sweden,08 Jun 1975,Niki LaudaLAU,Ferrari,80,1:59:18.319,https://www.formula1.com/en/results/1975/races/350/sweden/race-result
1975,Netherlands,22 Jun 1975,James HuntHUN,Hesketh Ford,75,1:46:57.400,https://www.formula1.com/en/results/1975/races/351/netherlands/race-result
1975,France,06 Jul 1975,Niki LaudaLAU,Ferrari,54,1:40:18.840,https://www.formula1.com/en/results/1975/races/352/france/race-result
1975,Great Britain,19 Jul 1975,Emerson FittipaldiFIT,McLaren Ford,56,1:22:05.000,https://www.formula1.com/en/results/1975/races/353/great-britain/race-result
1975,Germany,03 Aug 1975,Carlos ReutemannREU,Brabham Ford,14,1:41:14.100,https://www.formula1.com/en/results/1975/races/354/germany/race-result
1975,Austria,17 Aug 1975,Vittorio BrambillaBRA,March Ford,29,57:56.690,https://www.formula1.com/en/results/1975/races/355/austria/race-result
1975,Italy,07 Sep 1975,Clay RegazzoniREG,Ferrari,52,1:22:42.600,https://www.formula1.com/en/results/1975/races/356/italy/race-result
1975,United States,05 Oct 1975,Niki LaudaLAU,Ferrari,59,1:42:58.175,https://www.formula1.com/en/results/1975/races/357/united-states/race-result
1976,Brazil,25 Jan 1976,Niki LaudaLAU,Ferrari,40,1:45:16.780,https://www.formula1.com/en/results/1976/races/358/brazil/race-result
1976,South Africa,06 Mar 1976,Niki LaudaLAU,Ferrari,78,1:42:18.400,https://www.formula1.com/en/results/1976/races/359/south-africa/race-result
1976,USA West,28 Mar 1976,Clay RegazzoniREG,Ferrari,80,1:53:18.471,https://www.formula1.com/en/results/1976/races/360/usa-west/race-result
1976,Spain,02 May 1976,James HuntHUN,McLaren Ford,75,1:42:20.430,https://www.formula1.com/en/results/1976/races/361/spain/race-result
1976,Belgium,16 May 1976,Niki LaudaLAU,Ferrari,70,1:42:53.230,https://www.formula1.com/en/results/1976/races/362/belgium/race-result
